target_depth,replicate,roc_auc,accuracy,f1,balanced_accuracy
20000000,0,0.882962962962963,0.8473684210526315,0.8377030812324928,0.8488888888888889
20000000,1,0.8301234567901234,0.7941520467836256,0.7951461988304094,0.7955555555555555
20000000,2,0.874320987654321,0.8146198830409356,0.8089439284485724,0.8166666666666667
20000000,3,0.8765432098765432,0.8035087719298245,0.7849019607843137,0.8066666666666666
20000000,4,0.894814814814815,0.7935672514619884,0.7904953560371517,0.7966666666666666
20000000,5,0.9192592592592593,0.8263157894736842,0.8164602683178535,0.8288888888888888
20000000,6,0.8624691358024691,0.7713450292397661,0.7550223598211214,0.7733333333333333
20000000,7,0.7997530864197531,0.7298245614035088,0.7114465084279326,0.7322222222222222
20000000,8,0.8844444444444445,0.8263157894736841,0.8136824905400756,0.8288888888888888
20000000,9,0.8637037037037036,0.7935672514619883,0.7915966386554623,0.7966666666666666
20000000,10,0.8950617283950617,0.8163742690058479,0.8098813209494324,0.8177777777777777
20000000,11,0.8365432098765432,0.7713450292397661,0.7550051599587203,0.7744444444444445
20000000,12,0.8528395061728394,0.7719298245614035,0.7397619047619047,0.7755555555555554
20000000,13,0.8953086419753087,0.7824561403508772,0.7651530787753698,0.7844444444444445
20000000,14,0.8898765432098765,0.8596491228070174,0.8603174603174603,0.8622222222222222
20000000,15,0.9153086419753087,0.8140350877192983,0.8105882352941176,0.8166666666666667
20000000,16,0.8901234567901234,0.7725146198830409,0.7702614379084967,0.7733333333333332
20000000,17,0.8353086419753086,0.804093567251462,0.7936507936507936,0.8066666666666666
20000000,18,0.8587654320987654,0.8058479532163743,0.8039512774806893,0.8088888888888889
20000000,19,0.8637037037037036,0.7713450292397661,0.7559383753501401,0.7755555555555556
10000000,0,0.8800000000000001,0.8052631578947368,0.8083732057416266,0.8077777777777777
10000000,1,0.8135802469135802,0.7713450292397661,0.7617320261437909,0.77
10000000,2,0.7807407407407407,0.684795321637427,0.6807017543859649,0.6888888888888889
10000000,3,0.8130864197530865,0.6842105263157895,0.6633556931544546,0.6844444444444445
10000000,4,0.7513580246913579,0.6736842105263158,0.6579979360165119,0.6755555555555556
10000000,5,0.8409876543209878,0.7274853801169591,0.7032679738562091,0.73
10000000,6,0.7634567901234568,0.7175438596491228,0.6941004471964225,0.72
10000000,7,0.7935802469135802,0.7076023391812866,0.6842203548085901,0.7122222222222222
10000000,8,0.8486419753086419,0.7713450292397661,0.7612573099415204,0.7722222222222224
