feature,cancer_median,healthy_median,difference,p_value,fdr_p_value,fdr_significant,rank_biserial
fragment_entropy,6.254045937843421,6.305067046451381,-0.0510211086079595,0.008209703801593818,0.05038968028563385,False,-0.3204158790170132
std_length,19.200795649404796,19.833642039763227,-0.6328463903584307,0.012597420071408462,0.05038968028563385,False,-0.30245746691871456
pct_151_220,0.8152478459169241,0.8066877711810146,0.008560074735909473,0.38819996054402095,0.5295988084250075,False,0.10491493383742911
median_length,167.0,167.0,0.0,0.45004211274982164,0.5295988084250075,False,-0.0902646502835539
pct_below_150,0.1651071511777769,0.17134819862506462,-0.0062410474472877064,0.47490770551923467,0.5295988084250075,False,-0.08695652173913049
short_long_ratio,0.21628291734466254,0.22605222924285412,-0.00976931189819158,0.4797480696076266,0.5295988084250075,False,-0.0860113421550095
pct_100_150,0.1763242641750916,0.1825032486074973,-0.006178984432405721,0.5043486131535285,0.5295988084250075,False,-0.08128544423440454
mean_length,166.33587253310444,167.01355418976817,-0.6776816566637365,0.5295988084250075,0.5295988084250075,False,-0.07655954631379958
