target_depth,roc_auc_mean,roc_auc_sd
1000000,0.6191358024691358,0.07203841368429688
2000000,0.6551728395061729,0.07945851428376113
5000000,0.803037037037037,0.05440150568673303
10000000,0.8215185185185186,0.037423693210522024
20000000,0.8710617283950617,0.029897811664069938
